Episode131 TotalReward=-72.05106416006988 AverageLoss=29.8905162691 AverageValue=[[-11.64609432 -11.67884064]]
Episode132 TotalReward=-111.06932961955016 AverageLoss=2.38174721599 AverageValue=[[-6.209342   -6.18705559]]
Episode133 TotalReward=-39.67999999999999 AverageLoss=22.5901264406 AverageValue=[[-11.15170956 -11.24792862]]
Episode134 TotalReward=-34.23999999999999 AverageLoss=18.1573502164 AverageValue=[[-10.02186012 -10.02487469]]
Episode135 TotalReward=-658.3429731891905 AverageLoss=20.9644721078 AverageValue=[[-7.33461809 -7.38512802]]
Episode136 TotalReward=-85.39572315882732 AverageLoss=46.0396852892 AverageValue=[[-11.16852093 -11.14754009]]
Episode137 TotalReward=-409.90448203855175 AverageLoss=52.8497858682 AverageValue=[[-8.39880943 -8.44586468]]
Episode138 TotalReward=-37.78999999999999 AverageLoss=46.1659901631 AverageValue=[[-12.13318062 -12.19076824]]
Episode139 TotalReward=-35.26999999999999 AverageLoss=25.0494470126 AverageValue=[[-9.33689213 -9.36203671]]
Episode140 TotalReward=-53.052811584570804 AverageLoss=19.8588758871 AverageValue=[[-5.78541851 -5.76943493]]
Episode141 TotalReward=-114.10929026166463 AverageLoss=35.4374873551 AverageValue=[[-10.40963364 -10.43803692]]
Episode142 TotalReward=-14.25304445718651 AverageLoss=55.7291404133 AverageValue=[[-8.22475433 -8.30050182]]
Episode143 TotalReward=-32.24999999999998 AverageLoss=52.6658681784 AverageValue=[[-8.61230278 -8.60335636]]
Episode144 TotalReward=-43.32521048756903 AverageLoss=24.6951908576 AverageValue=[[-2.4633193  -2.51215458]]
Episode145 TotalReward=63.36035731899278 AverageLoss=29.7534210026 AverageValue=[[-7.45533895 -7.44417238]]
Episode146 TotalReward=-33.81588755386511 AverageLoss=24.0259801292 AverageValue=[[-6.40654135 -6.63545418]]
Episode147 TotalReward=-27.309999999999988 AverageLoss=40.0853500916 AverageValue=[[-9.02199268 -9.00051498]]
Episode148 TotalReward=-26.299999999999986 AverageLoss=12.9726186879 AverageValue=[[-5.00455427 -5.00543404]]
Episode149 TotalReward=-122.72495506053707 AverageLoss=27.335797687 AverageValue=[[-7.03072643 -7.00010395]]
Episode150 TotalReward=-21.349999999999998 AverageLoss=53.9588840008 AverageValue=[[-6.4130125  -6.41128826]]
Episode151 TotalReward=-326.4862020866104 AverageLoss=41.1405714182 AverageValue=[[-9.69126987 -9.67545414]]
Episode152 TotalReward=-34.71999999999999 AverageLoss=34.9420064771 AverageValue=[[-8.67891979 -8.62320614]]
Episode153 TotalReward=-19.879999999999995 AverageLoss=24.3745822112 AverageValue=[[-12.51443386 -12.55022049]]
Episode154 TotalReward=-31.309999999999985 AverageLoss=26.6386062957 AverageValue=[[-10.65801144 -10.5860424 ]]
Episode155 TotalReward=-62.263293159559495 AverageLoss=34.9305175572 AverageValue=[[-5.84671068 -5.80303812]]
Episode156 TotalReward=-27.81499999999999 AverageLoss=34.1816519714 AverageValue=[[-8.99306393 -8.91471291]]
Episode157 TotalReward=-30.2629278165949 AverageLoss=48.91689188 AverageValue=[[ 4.01346827  4.09362364]]
Episode158 TotalReward=-30.759999999999984 AverageLoss=74.6494619524 AverageValue=[[-10.55566692 -10.56745911]]
Episode159 TotalReward=-2.5804393529927907 AverageLoss=36.746807906 AverageValue=[[-7.80525494 -7.78816414]]
Episode160 TotalReward=-126.52542987058077 AverageLoss=34.2791593971 AverageValue=[[-9.14717007 -9.10076141]]
Episode161 TotalReward=-32.78999999999998 AverageLoss=40.8624273451 AverageValue=[[-8.37318039 -8.28654385]]
Episode162 TotalReward=-29.531757414215306 AverageLoss=24.111340467 AverageValue=[[-7.26356268 -7.21221685]]
Episode163 TotalReward=-82.41124330889348 AverageLoss=40.8100823371 AverageValue=[[-10.41601849 -10.43352604]]
Episode164 TotalReward=-119.99144697977337 AverageLoss=39.8465100629 AverageValue=[[-5.55601025 -5.55025434]]
Episode165 TotalReward=-25.81999999999999 AverageLoss=63.4218256606 AverageValue=[[-1.58716428 -1.68257964]]
Episode166 TotalReward=-107.11050866801821 AverageLoss=39.5816701717 AverageValue=[[-9.19336224 -9.05782318]]
Episode167 TotalReward=-27.90913046475682 AverageLoss=42.4916228102 AverageValue=[[-4.81010723 -4.89589453]]
Episode168 TotalReward=-25.909999999999997 AverageLoss=30.0833062619 AverageValue=[[-7.59471416 -7.53957987]]
Episode169 TotalReward=-28.299999999999986 AverageLoss=7.32941492233 AverageValue=[[-8.85595322 -8.82206154]]
Episode170 TotalReward=-60.04546418107637 AverageLoss=31.0818519719 AverageValue=[[-7.32158756 -7.28399563]]
Episode171 TotalReward=-183.5486608887629 AverageLoss=48.3566595246 AverageValue=[[-3.83169222 -3.93614912]]
Episode172 TotalReward=-58.94711789913047 AverageLoss=57.5803718035 AverageValue=[[ -9.90094471 -10.023592  ]]
Episode173 TotalReward=-25.859999999999992 AverageLoss=96.4897122681 AverageValue=[[-3.91183519 -3.92369294]]
Episode174 TotalReward=-251.6620971941568 AverageLoss=32.7794455583 AverageValue=[[-6.41184139 -6.24345922]]
Episode175 TotalReward=-28.789999999999985 AverageLoss=52.9064592259 AverageValue=[[-10.05526257  -9.90296173]]
Episode176 TotalReward=-27.470273349311842 AverageLoss=5301.36261407 AverageValue=[[-5.19471264 -5.2278738 ]]
Episode177 TotalReward=-33.119684792174816 AverageLoss=58.7257520709 AverageValue=[[-8.23280334 -8.38288975]]
Episode178 TotalReward=-74.27172135348931 AverageLoss=54.6731365064 AverageValue=[[-3.47546291 -3.38131404]]
Episode179 TotalReward=-29.779999999999983 AverageLoss=49.2912257533 AverageValue=[[-8.45958328 -8.31303692]]
Episode180 TotalReward=-34.30999999999999 AverageLoss=33.4744521088 AverageValue=[[-7.06980658 -6.92227364]]
Episode181 TotalReward=-26.29999999999999 AverageLoss=39.1698229383 AverageValue=[[-8.34835529 -8.10066319]]
Episode182 TotalReward=-24.812625771421747 AverageLoss=29.4765605078 AverageValue=[[-0.50928658 -0.56128061]]
Episode183 TotalReward=-23.359999999999992 AverageLoss=31.7014854227 AverageValue=[[-7.73030663 -7.75069046]]
Episode184 TotalReward=-24.82999999999999 AverageLoss=20.762176684 AverageValue=[[-6.69730759 -6.49102497]]
Episode185 TotalReward=-35.94212641939007 AverageLoss=18.6883822441 AverageValue=[[ 13.68555546  13.39770031]]
Episode186 TotalReward=-25.819999999999993 AverageLoss=5.20477699182 AverageValue=[[-6.10407925 -5.82595062]]
Episode187 TotalReward=-27.349999999999994 AverageLoss=64.1204831665 AverageValue=[[-8.46109962 -8.46648026]]
Episode188 TotalReward=-26.869999999999994 AverageLoss=35.2988168716 AverageValue=[[-7.04893684 -6.75415802]]
Episode189 TotalReward=-83.78322812951454 AverageLoss=29.7511177524 AverageValue=[[-7.58493853 -7.3876996 ]]
Episode190 TotalReward=-22.16088382180386 AverageLoss=21.6976735331 AverageValue=[[-3.0572567  -3.01765442]]
